FID,Contrato,Area_Km2,Nombre,Operador,Cuenca,Compañía de Servicios,Fecha de adquisición,XMIN,XMAX,YMIN,YMAX,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
19,TANGARA,533.57171399,TANGARA 3D-2002,HOCOL S.A.,LLANOS ORIENTALES,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-72.39569088,-72.07062764,5.4196214,5.74374612,0.0435040482643,0.979408227935,541655389.447266,109292.024864998
20,AZAR,34.89349286,AZAR 3D-2007,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",CAGUAN-PUTUMAYO,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-76.42682104,-76.34862782,0.95453589,1.02392438,0.0028305599907,0.229430759016,35081599.8502197,25541.8825821593
21,"CAGUAN_(ASOCIACION)
",68.30431635,RIO CEIBAS 3D-97,PETROBRAS COLOMBIA LIMITED,VALLE SUPERIOR DEL MAGDALENA,GAPS LTD,1/1/1900 12:00:00 AM,-75.25005912,-75.14207477,2.88737713,3.00348327,0.00555412174753,0.328248880487,68917661.0197754,36566.6475651137
22,JAGUEYES_3432-A,114.25466628,JAGUEYES-3D-2008,COLUMBUS ENERGY SUCURSAL COLOMBIA,LLANOS ORIENTALES,G.S.S.,1/1/1900 12:00:00 AM,-71.35092566,-71.25102044,5.4939673,5.58797108,0.00930274143443,0.385995986832,115821028.223145,43066.6307395249
23,BOROJO_NORTE,834.5486971,BOROJO NORTH 3D-2011,RELIANCE INDUSTRIES LIMITED,CHOCO OFFSHORE,RELIANCE INDUSTRIES LIMITED SUCURSAL COLOMBIA,1/1/1900 12:00:00 AM,-77.8960564,-77.58833003,3.6652857,3.93937429,0.0676648747281,1.02498198316,840358387.946289,114219.099526862
24,CARACARA,84.61549465,RANCHO QUEMADO 3D-2005,CEPSA COLOMBIA S.A.,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.99392401,-71.86078082,4.26720229,4.38996942,0.00688344873056,0.392733541085,85544904.2399902,43785.1027733281
25,CORCEL,94.95646096,CORCEL NW 3D-2010,FRONTERA ENERGY COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-72.95745374,-72.80465238,4.40629697,4.51368983,0.00773374359124,0.503819835357,96130087.4121094,56146.2162475737
26,CANO_SUR,269.17452565,TRASGO 3D-2014,ECOPETROL S.A.,LLANOS ORIENTALES,GLOBAL GEOPHYSICAL SERVICES,1/1/1900 12:00:00 AM,-72.75105141,-72.56893972,3.29580756,3.4163936,0.0218910687913,0.604519482769,271740851.902344,67340.8273275747
27,VMM-06,398.27078055,VIM6 3D-2011,ECOPETROL S.A.,VALLE INFERIOR DEL MAGDALENA,PETROSEISMIC SERVICES S A,1/1/1900 12:00:00 AM,-74.61727581,-74.47361381,8.64455239,9.00925415,0.0327301717816,1.01784527436,410439443.326172,114279.736316408
28,CPO-05,442.56012796,CABUYARO 3D-2015,ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,LLANOS ORIENTALES,PANGEA,1/1/1900 12:00:00 AM,-73.0376026,-72.74952067,4.15137148,4.39538104,0.0360365875576,1.07585947659,447817084.227051,119932.242749197
29,COL-01,16302.1587717,ESMERALDA 3D-2015,ANADARKO COLOMBIA COMPANY SUCURSAL COLOMBIA,COLOMBIA,CGG VERITAS SERVICES S.A.,1/1/1900 12:00:00 AM,-75.501394,-73.999945,11.996811,13.000522,1.35512957155,5.00236246992,17202089248.8008,562280.71458897
30,VMM-05,387.08316458,PAPAYERA 3D-2012,ECOPETROL S.A.,VALLE INFERIOR DEL MAGDALENA,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-75.38253771,-75.13374517,8.62221073,8.87819009,0.0317953323915,0.76875598854,398647212.686035,86084.9131008458
31,CASANARE_ESTE,101.15984609,CASANARE ESTE 3D-2009,PETROMINERALES COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,SISMOPETROL SAS,1/1/1900 12:00:00 AM,-71.82063359,-71.75481482,5.02326522,5.21545253,0.00823721211168,0.513793267732,102484968.5,57365.9871594361
32,COL-03,3023.4045206,COL3 3D-2016,SHELL EXPLORATION AND PRODUCTION COLOMBIA GMBH,GUAJIRA OFFSHORE,POLARCUS ALIMA,1/1/1900 12:00:00 AM,-75.00704913,-73.99986589,11.49363952,11.99835698,0.250757190843,2.45575570371,3174538824.55469,275085.769548581
33,LLA-32,283.44477474,LLANOS32 3D-2010,VERANO ENERGY DELTA CORP SUCURSAL COLOMBIA,LLANOS ORIENTALES,KINETEX GEOSCIENCES INC SUCURSAL COLOMBIA,1/1/1900 12:00:00 AM,-72.60665174,-72.37196955,4.46711269,4.77392717,0.0230834599374,0.861090289001,286989074.673584,96044.4918154685
34,PUT-02,31.00412369,CANELO SUR N 3D-2011,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",CAGUAN-PUTUMAYO,SATELITE SISMICA & SERVICIOS LTDA,1/1/1900 12:00:00 AM,-76.30205909,-76.25788332,0.93016461,0.98727063,0.00251540131369,0.202279253091,31175291.4696045,22519.4020413406
35,GARCERO,138.68109575,SARDINAS GUARILAQUE 3D-2005,PERENCO OIL AND GAS COLOMBIA LIMITED,LLANOS ORIENTALES,GRANT GEOPHYSCIAL INC,1/1/1900 12:00:00 AM,-71.64969381,-71.45973811,4.83515006,5.03149406,0.011285403947,0.570430852731,140368877.282959,63624.7881741881
36,CHIGUIRO_OESTE,134.04826947,CHIGUIRO OESTE 3D-2011,PETROMINERALES COLOMBIA CORP. SUCURSAL COLOMBIA,LLANOS ORIENTALES,GEOFISICA SISTEMAS Y SOLUCIONES S A GSS EN LIQUIDACION JUDICIAL - GSS S A,1/1/1900 12:00:00 AM,-73.15384447,-73.03763,3.41566337,3.50976865,0.0109063648494,0.420067656803,135399212.161377,46799.9679994149
37,CAMPOS_TELLO_Y_LA_JAGUA,71.150766,TELLO 3D-2009,ECOPETROL S.A.,VALLE SUPERIOR DEL MAGDALENA,CGL COMPANIA GEOFISICA LATINOAMERICANA S.A,1/1/1900 12:00:00 AM,-75.25224992,-75.12863178,2.97610151,3.07966352,0.00578602259071,0.329763190052,71800808.4365234,36730.4365012554
38,LLA-71,68.33173618,LLANOS71 3D-2013,GEO TECHNOLOGY LA SUCURSAL COLOMBIA,LLANOS ORIENTALES,GEOESPECTRO S A S,1/1/1900 12:00:00 AM,-71.98147751,-71.84728102,4.57596704,4.6467877,0.00556103800843,0.384971446187,69136684.467041,42911.1486953507
